,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Cluster
0,0.93,1.8,2.29,0.62,0.8,2.42,3.19,2.79,1.82,2.42,Cluster 2
1,1.02,2.2,2.66,0.64,1.42,3.18,3.21,2.63,1.86,2.32,Cluster 2
2,1.22,0.8,0.54,0.53,0.24,1.54,3.18,2.8,1.31,2.5,Cluster 0
3,0.45,1.8,0.29,0.57,0.46,1.52,3.18,2.96,1.57,2.86,Cluster 0
4,0.51,1.2,1.18,0.57,1.54,2.02,3.18,2.78,1.18,2.54,Cluster 2
5,0.99,1.28,0.72,0.27,0.74,1.26,3.17,2.89,1.66,3.66,Cluster 0
6,0.9,1.36,0.26,0.32,0.86,1.58,3.17,2.66,1.22,3.22,Cluster 0
7,0.74,1.4,0.22,0.41,0.82,1.5,3.17,2.81,1.54,2.88,Cluster 0
8,1.12,1.76,1.04,0.64,0.82,2.14,3.18,2.79,1.41,2.54,Cluster 2
9,0.7,1.36,0.22,0.26,1.5,1.54,3.17,2.82,2.24,3.12,Cluster 0
10,1.47,1.0,0.7,0.75,1.66,2.76,3.18,2.89,1.66,2.62,Cluster 2
11,0.96,2.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42,Cluster 2
12,0.74,1.44,2.75,0.45,0.98,1.74,3.2,2.87,1.38,2.34,Cluster 1
13,0.58,1.64,2.27,0.45,1.26,1.72,3.19,2.91,2.3,2.74,Cluster 1
14,0.96,1.68,2.29,0.51,1.2,2.84,3.2,2.82,2.02,2.46,Cluster 2
15,1.25,2.52,1.76,0.5,1.46,2.08,3.19,2.74,1.41,2.32,Cluster 2
16,0.86,1.04,1.76,0.34,0.06,1.1,3.18,2.73,1.15,2.98,Cluster 0
17,0.61,1.96,2.49,0.66,1.34,1.78,3.2,3.04,1.15,2.42,Cluster 1
18,0.67,1.36,1.36,0.38,0.82,3.38,3.18,2.86,1.79,2.8,Cluster 2
19,0.8,1.04,2.1,0.58,1.18,1.98,3.19,2.93,1.22,2.48,Cluster 1
20,0.86,1.44,1.12,0.41,1.2,2.18,3.18,2.7,1.06,2.94,Cluster 2
21,0.96,1.44,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22,Cluster 2
22,0.93,1.16,0.29,0.41,1.02,1.36,3.16,2.74,1.34,3.66,Cluster 0
23,0.54,1.44,0.3,0.41,1.02,1.46,3.17,2.71,1.73,3.04,Cluster 0
24,1.22,0.96,1.15,0.54,1.1,2.02,3.18,2.77,1.92,2.46,Cluster 1
25,0.61,2.84,2.8,0.48,0.56,1.52,3.19,2.54,1.6,2.54,Cluster 1
26,0.77,1.68,2.24,0.75,1.28,2.64,3.19,2.57,1.34,2.38,Cluster 2
27,0.99,1.28,1.22,0.59,0.94,1.9,3.18,2.79,1.22,2.4,Cluster 1
28,0.58,1.2,0.18,0.38,0.54,0.76,3.17,2.69,1.63,2.94,Cluster 0
29,0.64,1.16,3.12,0.45,1.84,3.16,3.2,2.75,1.54,2.46,Cluster 2
30,0.74,1.28,2.14,0.5,0.94,2.26,3.2,2.78,1.5,2.34,Cluster 2
31,0.7,2.24,2.32,0.63,0.72,2.12,3.19,2.65,1.28,2.42,Cluster 1
32,0.64,2.0,1.6,0.41,2.08,2.22,3.19,2.8,1.76,2.72,Cluster 2
33,1.06,1.12,0.21,0.58,0.98,2.5,3.18,2.9,1.92,2.74,Cluster 2
34,0.96,1.16,0.45,0.29,0.98,1.42,3.18,2.94,2.02,3.02,Cluster 0
35,0.88,0.96,1.18,0.43,0.74,1.52,3.18,3.01,1.63,2.94,Cluster 1
36,0.7,1.28,1.15,0.32,0.4,1.1,3.18,2.78,1.76,2.9,Cluster 0
37,1.02,1.36,0.91,0.5,0.72,1.22,3.18,2.91,1.92,3.2,Cluster 0
38,0.7,1.52,2.37,0.62,0.86,1.68,3.2,2.86,1.6,2.58,Cluster 1
39,1.38,1.08,0.18,0.62,0.14,1.46,3.18,2.88,1.66,2.42,Cluster 0
40,0.99,1.24,0.15,0.24,1.38,1.98,3.17,2.61,1.02,3.06,Cluster 0
41,0.58,1.48,0.19,0.41,0.5,0.98,3.16,2.74,1.57,3.38,Cluster 0
42,0.67,1.24,0.61,0.24,1.06,1.9,3.18,2.82,1.25,2.88,Cluster 1
43,1.02,2.0,0.42,0.56,0.46,2.06,3.18,2.86,2.05,2.66,Cluster 0
44,0.64,1.64,0.34,0.62,0.64,2.22,3.18,3.1,1.98,2.8,Cluster 2
45,1.7,1.4,0.61,0.39,0.7,1.46,3.17,2.9,1.82,3.38,Cluster 0
46,0.38,1.08,0.77,0.34,1.06,1.46,3.18,3.15,2.18,3.22,Cluster 0
47,0.9,1.2,1.24,0.35,0.88,1.86,3.18,2.86,1.47,2.94,Cluster 1
48,0.45,2.96,0.26,0.4,0.56,1.68,3.18,2.9,1.44,2.72,Cluster 0
49,0.61,1.08,2.22,0.65,1.2,2.06,3.19,2.62,1.31,2.34,Cluster 1
50,1.02,1.2,0.3,0.38,1.1,1.9,3.17,2.93,1.34,3.42,Cluster 0
51,0.42,1.48,2.06,0.48,0.96,1.4,3.18,2.71,1.76,2.86,Cluster 1
52,0.8,1.88,0.66,0.47,2.54,2.18,3.18,2.59,1.89,3.02,Cluster 2
53,1.02,0.64,1.12,0.51,0.8,1.82,3.18,2.82,1.5,2.56,Cluster 1
54,1.02,1.2,0.37,0.58,0.54,1.7,3.17,2.78,1.66,3.42,Cluster 0
55,0.61,1.68,0.46,0.37,0.86,1.1,3.17,2.94,1.31,3.12,Cluster 0
56,0.8,1.16,2.43,0.54,1.06,2.28,3.19,2.86,1.44,2.48,Cluster 2
57,0.93,1.48,0.78,0.39,0.7,1.7,3.18,2.82,1.41,2.88,Cluster 1
58,0.64,1.2,2.27,0.64,1.42,2.83,3.2,2.79,1.47,2.38,Cluster 2
59,0.83,1.4,1.23,0.64,1.2,2.54,3.18,2.81,1.6,2.54,Cluster 2
60,1.06,1.92,3.11,0.55,1.46,3.24,3.2,2.62,1.28,2.34,Cluster 2
61,1.98,0.96,0.18,0.45,0.16,0.82,3.18,3.03,1.02,2.78,Cluster 0
62,0.9,1.12,0.22,0.45,0.32,1.1,3.18,2.82,2.08,2.96,Cluster 0
63,0.51,1.6,0.37,0.42,0.48,1.36,3.18,3.1,1.34,3.04,Cluster 0
64,1.41,1.12,0.68,0.37,1.14,1.76,3.18,2.9,1.5,3.01,Cluster 1
65,1.47,0.72,0.53,0.62,0.48,1.9,3.18,2.78,1.63,2.88,Cluster 0
66,0.99,1.28,2.32,0.43,0.16,1.06,3.18,2.79,1.09,3.34,Cluster 1
67,0.93,1.0,0.61,0.5,0.8,1.52,3.18,2.77,1.28,2.94,Cluster 0
68,0.51,1.08,1.92,0.34,1.04,1.3,3.18,2.8,1.09,2.88,Cluster 1
69,0.54,1.44,0.72,0.48,0.7,1.36,3.18,2.74,1.5,2.54,Cluster 0
70,1.6,0.8,0.38,0.67,0.5,1.5,3.18,2.82,1.28,2.46,Cluster 0
71,0.83,1.04,2.94,0.96,0.88,1.86,3.2,2.82,1.25,2.34,Cluster 1
72,0.74,2.24,0.14,0.47,1.22,1.88,3.17,2.81,1.98,2.58,Cluster 0
73,0.9,1.08,2.48,0.41,0.82,1.78,3.18,2.83,1.41,3.46,Cluster 1
74,1.31,1.36,1.47,0.56,0.78,2.0,3.19,2.86,1.63,2.42,Cluster 1
75,0.99,2.96,1.71,0.45,1.36,1.96,3.19,2.69,1.38,2.32,Cluster 2
76,1.28,1.12,1.04,0.42,0.7,1.3,3.18,2.81,1.86,3.36,Cluster 0
77,0.8,1.76,2.53,0.65,1.04,2.22,3.19,2.79,1.63,2.46,Cluster 2
78,0.83,1.08,0.67,0.35,0.54,1.06,3.17,2.78,1.25,3.06,Cluster 0
79,0.7,1.04,0.19,0.47,0.78,2.42,3.17,2.7,1.12,2.98,Cluster 2
80,2.08,0.92,0.8,0.4,0.54,1.7,3.17,3.07,1.54,3.42,Cluster 1
81,0.74,1.32,0.93,0.46,0.66,1.82,3.18,2.83,1.86,2.54,Cluster 1
82,0.7,1.52,0.45,1.65,0.32,0.86,3.17,2.62,2.05,3.04,Cluster 0
83,1.25,0.92,0.86,0.58,0.66,1.98,3.18,2.88,1.12,2.66,Cluster 1
84,1.92,0.28,1.12,0.5,0.88,1.96,3.18,2.96,1.86,2.58,Cluster 1
85,0.74,1.84,0.24,0.34,0.8,1.66,3.17,2.87,1.5,3.34,Cluster 0
86,0.7,0.76,0.72,1.1,0.42,1.54,3.18,2.69,1.41,2.56,Cluster 0
87,0.64,1.08,0.19,0.39,0.5,0.9,3.17,2.79,1.18,3.12,Cluster 0
88,0.64,2.36,0.14,1.68,1.02,1.76,3.18,2.71,1.22,2.42,Cluster 0
89,0.67,2.08,1.04,0.54,0.74,1.64,3.18,2.86,1.57,2.64,Cluster 1
90,1.38,1.12,0.72,0.53,0.88,1.36,3.18,2.81,1.79,3.26,Cluster 0
91,0.56,1.16,0.13,0.49,0.54,0.9,3.17,2.91,1.54,2.64,Cluster 0
92,1.1,2.04,2.45,0.54,1.44,2.28,3.19,2.74,1.63,2.42,Cluster 2
93,0.64,1.2,2.27,0.64,1.42,2.83,3.2,2.79,1.47,2.38,Cluster 2
94,0.99,2.0,2.13,0.64,1.82,2.6,3.19,2.67,1.5,2.46,Cluster 2
95,1.12,0.96,0.3,0.46,0.56,1.92,3.18,2.98,1.22,2.94,Cluster 0
96,0.9,1.44,2.34,0.55,0.94,2.14,3.19,2.79,1.79,2.82,Cluster 1
97,0.9,0.56,1.38,0.37,0.8,1.9,3.18,2.91,1.41,2.54,Cluster 1
98,1.02,0.88,2.67,0.53,1.02,1.78,3.19,2.86,2.14,2.78,Cluster 1
99,0.67,1.6,0.21,0.47,2.16,1.96,3.17,2.86,3.04,3.1,Cluster 2
100,0.9,0.96,0.38,0.5,0.78,2.1,3.18,2.9,1.79,2.82,Cluster 2
101,0.64,1.12,0.4,0.37,0.64,1.12,3.18,2.94,1.76,3.06,Cluster 0
102,0.99,2.12,1.41,0.65,0.96,2.94,3.19,2.82,1.41,2.42,Cluster 2
103,0.88,1.2,0.16,0.45,0.5,1.0,3.18,2.67,1.79,2.86,Cluster 0
104,1.47,0.84,0.64,0.39,0.32,1.18,3.17,2.9,1.73,3.46,Cluster 0
105,0.86,0.88,2.85,0.39,0.42,1.54,3.2,2.73,1.7,2.46,Cluster 1
106,1.07,0.56,0.93,0.53,1.3,2.62,3.18,2.94,2.27,2.74,Cluster 2
107,0.99,1.2,0.38,0.43,0.8,1.1,3.16,2.74,1.15,3.42,Cluster 0
108,1.76,0.04,0.43,0.39,1.5,1.62,3.17,2.8,0.96,3.18,Cluster 0
109,0.8,2.16,1.12,0.53,1.54,2.34,3.18,2.83,2.24,2.78,Cluster 2
110,0.9,1.8,1.25,0.67,0.86,1.86,3.19,2.96,2.46,2.98,Cluster 1
111,0.9,1.08,1.65,0.34,0.7,1.44,3.18,2.85,1.15,2.86,Cluster 1
112,0.9,1.84,0.51,0.66,1.04,1.78,3.18,2.79,1.86,2.54,Cluster 0
113,0.35,1.36,1.41,0.49,1.1,1.5,3.18,3.04,1.28,2.48,Cluster 1
114,0.83,1.04,2.94,0.96,0.88,1.86,3.2,2.82,1.25,2.34,Cluster 1
115,1.15,1.28,0.18,0.61,0.7,2.3,3.18,3.01,1.73,2.34,Cluster 2
